Ar_CommonGroup 搴旂敤鎬绘暟: 1170

鍞竴杩涚▼鍚? 965

================================================================================
ManicTime 鎵€鏈夊簲鐢紙CommonId | 杩涚▼鍚?| 鏄剧ず鍚?| 棰滆壊锛?
================================================================================
    919  mmc.exe                                                                                  #DC0D0A
    958  android.exe                                    android                                   #0056F6
   1152  android-studio-2025.1.2.11-windows.exe         Android Studio                            #136AF5
   1153  studio64.exe                                   Android Studio                            #136AF5
    937  angrybirdsspace.exe                            Angry Birds Space                         #6B0017
     69  ace-helper.exe                                 Anti-Cheat Expert                         #007FFE
    470  ace-tray.exe                                   Anti-Cheat Expert                         #007AED
    729  uninstall64.exe                                Anti-Cheat Expert                         #0E71DA
    790  uninstaller.exe                                Anti-Cheat Expert                         #007AED
   1435  xc0g.0.exe                                     Anti-Cheat Expert                         #007AED
    960  apifox-2.7.11.exe                              Apifox                                    #EF002B
    961  apifox.exe                                     Apifox                                    #EF002B
     35  applicationframehost.exe                       Application Frame Host                    #0D4B74
    220  modernflyoutshost.exe                          Application Frame Host                    #0D4B74
   2563  appreadwritecounter.exe                        AppReadWriteCounter                       #1000F1
   2321  archivepasswordtesttoolgui.exe                 ArchivePasswordTestToolGUI                #69699F
    626  archpr.exe                                     ARCHPR                                    #E88B00
    994  asklink.exe                                    AskLink                                   #3163FA
    281  asklink.exe                                    AskLink Remote                            #3163FA
    411  atelierresleriana.exe                          AtelierResleriana                         #00FEFE
    455  au_.exe                                        Au_                                       #C152D2
   1791  audioeffect.exe                                Audio in Effect                           #CCEF5A
   1792  闊充箰鎾斁鍣╝udioplayer.exe                           Audio Player                              #D2F33C
    658  audiorepeater.exe                              Audio Repeater                            #7F0000
    661  audiorepeater_ks.exe                           Audio Repeater (Kernel Streaming)         #7F0000
    261  audio-o2l3047fgss3tte0.tmp                     audio-O2L3047FGSS3TTE0                    #5971E6
     94  automacrorecorder.exe                          Auto Macro Recorder                       #0085DE
     85  autoclicker.exe                                AutoClicker                               #FC6500
   2129  adskaccessuihost.exe                           Autodesk Access User Interface            #95A9EA
   1905  autohotkeyu64.exe                              AutoHotkey                                #2AF32A
   1904  autohotkeyux.exe                               AutoHotkey                                #436D3D
   1903  autohotkey_2.0.19_setup.exe                    AutoHotkey Setup                          #436D3D
    264  automatic_type.exe                             automatic_type                            #0D4B74
   1630  autopanogiga_x64.exe                           Autopano Giga                             #0096FA
   1625  autopanogiga_x64_402_2015-06-01.exe            AutopanoGiga_x64_402_2015-06-01           #F18000
    218  apphost.uwp.exe                                Avira Phantom VPN                         #4294F8
    922  b95 v2.4.55.tmp                                B95 v2.4.55                               #0CD5EC
    592  baidun armor_3.2.1_setup.tmp                   Baidun Armor_3.2.1_Setup                  #CB0306
    593  baidunarmorgui.exe                             BaiDunArmorGUI                            #EC2700
   1769  baidunetdiskimageviewer.exe                    BaiduNetdiskImageViewer                   #0085A7
    855  baidunetdiskunite.exe                          BaiduNetdiskUnite                         #00A8FD
    347  baidunetdisk.exe                               BaiduYunGuanjia Application               #00A8FD
   2156  鎵撳紑鎴?exe                                        baishi                                    #005091
    633  tslgame_be.exe                                 BattlEye Launcher                         #23363E
   1425  bepinex.splashscreen.gui.exe                   BepInEx.SplashScreen                      #6F493C
    944  bettergi.exe                                   BetterGI                                  #CFB678
   1193  bettergi.onlineinst.r183.exe                   BetterGI                                  #F0871F
   1359  bettergi.update (2).exe                        BetterGI                                  #F0871F
   1049  bettergi.update.exe                            BetterGI                                  #F0871F
   1894  bettergi.update.instbak                        BetterGI                                  #17A167
   1392  beyondeditor.exe                               BeyondEditor                              #00FEFE
    628  bhdclient-win64-shipping.exe                   BHDClient-Win64-Shipping                  #E2D98B
   2407  biglybt.exe                                    BiglyBT                                   #7DB2F7
   2406  biglybt_installer64_withjava21.exe             BiglyBT                                   #7DB2F7
   2408  uninstall.exe                                  BiglyBT Uninstaller                       #558A23
   1853  bitcomet.exe                                   BitComet                                  #EC2700
   2403  bitcomet_setup.tmp                             BitComet                                                      #8B8BF4
   2404  bitcomet_x64.exe                               BitComet 64-bit                           #EC2700
   2412  bitejingling.tmp                               bitejingling                              #BA9875
   2413  bitspirit.exe                                  BitSpirit                                 #1B7CA0
   1191  blender.exe                                    Blender                                   #EE8413
   1046  bloonstd6.exe                                  BloonsTD6                                 #A14A17
    694  bluetooth audio reveicer.exe                   Bluetooth Audio Receiver                  #265082
    157  bongo cat mver.exe                             Bongo Cat Mver                            #A60018
   1087  bongo-cat.exe                                  BongoCat                                  #AA0019
   1871  bongocat.exe                                   BongoCat                                  #FB3200
   1086  bongocat_0.6.1_x64-setup.exe                   BongoCat                                  #D77265
    158  bongocatui.exe                                 BongoCatUI                                #A60018
   1157  browndust2starter.exe                          Browndust 2 Starter                       #3D6B91
   1158  browndust ii.exe                               BrownDust II                              #1CB4EC
   1156  瀹樻柟瀹夎鍣?tmp                                      Browndust2                                                    #21A554
   2578  c138 build10651429.tmp                         C138 Build10651429                        #CB974F
    237  c34 v20240105.tmp                              C34 v20240105                             #2C97FA
    238  c34a v20230117.tmp                             C34A v20230117                            #69A116
    367  mmc.exe                                        C:\Program Files (x86)\Lenovo\LeAppStore 灞炴€? #DC0D0A
   1790  mmc.exe                                        C:\Users\highness\Desktop\鎵撳紑鎴慭zj\aria2c.exe\  #DC0D0A
    904  camera-o2l3027fnukqxte0.tmp                    camera-O2L3027FNUKQXTE0                   #5F84EC
    228  castlebreak_.exe                               CastleBreak_                              #2A77BA
   1845  cefflashbrowser.exe                            CefFlashBrowser                           #0079EA
   1649  certutil.exe                                   CertUtil.exe                              #7F7F00
   2065  cgplayer.exe                                   CGPlayer                                  #3291EA
    152  chatbot.exe                                    ChatBot                                   #CD5B55
    212  chatgpt.exe                                    ChatGPT                                   #3F5C65
    938  cheatengine-i386.exe                           cheatengine-i386                          #003E5D
   1301  packettracer.exe                               Cisco Packet Tracer                       #006000
   1300  ciscopackettracer8.1.1.0022.tmp                CiscoPacketTracer8.1.1.0022               #C6D49A
   2052  flclash.exe                                    clash                                     #0000B6
    167  clash for windows.exe                          Clash for Windows                         #253F65
   2050  clash-verge.exe                                Clash Verge                               #FE00FE
   2049  clash.verge_2.4.7_x64-setup.exe                Clash Verge                               #FE00FE
    166  cloudflare warp.exe                            Cloudflare WARP                           #8B450B
   1136  cocogoat-control.exe                           cocogoat-control                          #0285F7
   1440  wadfngrv.exe                                   Cok Auto Recorder                         #006A98
    151  dllhost.exe                                    COM Surrogate                             #0D4B74
    575  copilotnative.exe                              CopilotNative                             #0C5481
   1979  setup.exe                                      Corel Setup Engine                        #187F3A
   1886  mmc.exe                                        Cpolar Service 鐨勫睘鎬?鏈湴璁＄畻鏈?                 #DC0D0A
   1192  cpuz.exe                                       CPU-Z Application                         #5100E8
    439  cpuz_x64.exe                                   CPU-Z Application                         #5100E8
    586  4930-2024-12-02051506-1733130906575.tmp        CPUID CPU-Z                                                   #BB02CF
    506  crashreportclient.exe                          CrashReportClient                         #1B26CB
    356  creative cloud.exe                             Creative Cloud Desktop                    #E20F00
    165  credentialuibroker.exe                         Credential Manager UI Host                #0D4B74
   1874  crushcrush.exe                                 CrushCrush                                #1B9EA7
     81  csrss                                          csrss                                     #DAA000
   1650  cultivation.exe                                Cultivation                               #DF6BC7
   1964  curseforge.exe                                 CurseForge                                #E8912E
   1963  owinstaller.exe                                Curseforge Installer                      #0E5E87
    872  d.jlp001.tmp                                   D.JLP001                                  #19CDBF
    914  daysgone.exe                                   DaysGone                                  #FE00FE
   1312  dcontrol                                       dControl                                  #DAA000
    866  doa6.exe                                       DEAD OR ALIVE 6                           #8F0000
     34  deltaforceclient-win64-shipping.exe            DeltaForceClient-Win64-Shipping           #1E2E34
   1162  deltaforcesingle-win64-shipping.exe            DeltaForceSingle-Win64-Shipping           #261200
   1870  desktopmate.exe                                DesktopMate                               #005CDE
   2245  die.exe                                        Detect It Easy                            #974B00
   2247  diel.exe                                       Detect It Easy                            #F18400
    903  mmc.exe                                        Device Manager                            #DC0D0A
    508  df_uninst.exe                                  df_uninst                                 #193340
   1828  mmc.exe                                        Diagnostic Policy Service 鐨勫睘鎬?鏈湴璁＄畻鏈?      #DC0D0A
     18  dingtalk.exe                                   DingTalk                                  #0073F8
   2231  dingtalkrevokemsgpatcher.exe                   DingTalkRevokeMsgPatcher.WinForm          #008EF3
    647  directx repair.exe                             DirectX Repair                            #00007F
    438  display driver uninstaller.exe                 Display Driver Uninstaller                #0000FE
   2032  displayx.exe                                   DisplayX                                  #0031B8
   1141  dldllhsj.exe                                   DLDLLHSJ                                  #125FD3
   1132  dldllhsjcps.exe                                DLDLLHSJCPS                               #0454D3
    639  dnmultiplayerex.exe                            dnmultiplayerex                           #936E00
    416  doax_vv.exe                                    DOAX_VV                                   #F48600
    415  doax_vv_launcher.exe                           DOAX_VV_Launcher                          #F48600
   1728  docker desktop.exe                             Docker Desktop                            #208EE8
   1727  docker desktop installer.exe                   Docker Desktop Installer                  #208EE8
   1067  doubao.exe                                     Doubao                                    #007EE6
   1066  doubao_client_dbkhd_12_sem_chat_pinp_windows_v1060006_c6fb_1750397280.exe  Doubao Installer                          #007EE6
   2329  repair_2026_06_01_11_19_26.exe                 Doubao Repair                             #007EE6
   2354  repair_2026_06_05_17_14_08.exe                 Doubao Repair                             #007EE6
   2365  repair_2026_06_09_13_21_49.exe                 Doubao Repair                             #007EE6
   2416  repair_2026_06_17_09_20_15.exe                 Doubao Repair                             #007EE6
   2425  repair_2026_06_17_13_23_57.exe                 Doubao Repair                             #007EE6
   2437  repair_2026_06_19_17_59_02.exe                 Doubao Repair                             #007EE6
   2473  repair_2026_06_24_18_08_09.exe                 Doubao Repair                             #007EE6
   2518  repair_2026_07_05_13_12_49.exe                 Doubao Repair                             #007EE6
   2526  repair_2026_07_08_16_11_59.exe                 Doubao Repair                             #007EE6
    576  doudouai.exe                                   DoudouAI                                  #F78A1E
    376  app_package_13331f76ef.exe                     douyin                                    #00FEFE
    989  app_package_28d33c14ba.exe                     douyin                                    #00FEFE
    485  app_package_81dc1dd483.exe                     douyin                                    #00FEFE
   1003  app_package_8ee0be76cf.exe                     douyin                                    #00FEFE
    577  douyin-v5.3.1-win32-ia32-lenovoad.exe          douyin                                    #00FEFE
    171  douyin.exe                                     douyin                                    #00FEFE
    193  douyin_tray.exe                                douyin                                    #00FEFE
    309  kaishiyouxi.exe                                douyljq                                   #D7A51C
    754  dragonheir.exe                                 Dragonheir                                #E04A00
    945  draw.io-13.9.9-windows-installer.exe           draw.io                                   #F38500
    947  draw.io-27.0.2-windows-installer.exe           draw.io                                   #F38500
    946  draw.io.exe                                    draw.io                                   #F38500
   2306  installer.exe                                  draw.io                                   #F38500
    959  miusbdriver.exe                                Driver installer                          #FA2BCF
    448  lenovodm.exe                                   DriverGenius                              #0054FC
    181  dwm                                            dwm                                       #DAA000
   1442  vscmain.exe                                    e2eSoft VSC - Virtual Sound Card          #004C00
   1068  ecmenu_x64.exe                                 EcMenu_x64                                #3A94E8
   2448  mmc.exe                                        edge 灞炴€?                                  #DC0D0A
   2080  edrawmax-1.exe                                 Edraw Max                                 #007CF9
   2003  edrawmax.exe                                   Edraw Max                                 #007CF9
   1549  eldenring.exe                                  ELDEN RING鈩?                              #132F2F
   2287  electron.exe                                   Electron                                  #53C1DA
    441  unlockit.exe                                   EMCO UnLock IT                            #953B00
    168  enableloopback.exe                             EnableLoopback                            #478826
   1897  endfield.exe                                   Endfield                                  #B8AE00
    552  epicgameslauncher.exe                          EpicGamesLauncher                         #0000FE
   1774  etalien-setup-v1.14.10.tmp                     ETALIEN-Setup-v1.14.10                    #94F3A9
     55  everything.exe                                 Everything                                #7F3F00
   1271  exe4j.exe                                      exe4j Wizard                              #0083F6
    199  f5013 v1.1.0.tmp                               F5013 v1.1.0                              #FCB177
   2548  fabric-server-mc.26.1-loader.0.19.3-launcher.1.1.1.jar  fabric-server-mc.26.1-loader.0.19.3-launcher.1.1.1.jar  #5A5AF9
    554  fevergamesinstaller.exe                        Fever Games                               #8B0F15
    285  ffxiv_textools.exe                             FFXIV_TexTools                            #001EE8
    200  kaishiyouxi.exe                                fghjaz                                    #C5B500
    239  寮€濮?鍚姩.exe                                      fghjaz                                    #C5B500
    103  pickerhost.exe                                 File Picker UI Host                       #0D4B74
   1071  file types editor.exe                          File Types Editor                         #09CBFB
   1267  filezilla.exe                                  FileZilla                                 #F60000
   1266  filezilla_3.69.3_win64_sponsored2-setup.exe    FileZilla                                 #F60000
   1263  filezilla-server-gui.exe                       FileZilla Server                          #AB0000
   1262  filezilla_server_1.11.0_win64-setup.exe        FileZilla Server                          #AB0000
   1337  first blood.exe                                first blood                               #EBCF57
   2051  flclash-0.8.92-windows-amd64-setup.tmp         FlClash                                                       #32F7DB
   1080  klearmaxforphoto.exe                           FliFlik KlearMax for Photo                #FD0054
    301  frameview_x64.exe                              FrameView                                 #DDC16A
   2410  fdm.exe                                        Free Download Manager                     #0087DC
   2409  fdm_x64_setup_6.22.tmp                         Free Download Manager                                         #6E7AE8
   2411  _unins.tmp                                     Free Download Manager                                         #763A7A
   1143  mmc.exe                                        FxSound Audio Enhancer 灞炴€?                #DC0D0A
    867  g01d moda_v1.41.tmp                            G01D MODA_v1.41                           #7CAC31
   1188  galaxy_studio.exe                              galaxy_studio                             #00B0F0
   1679  galhome.exe                                    GalHome                                   #F56618
   1254  galhome-win64-shipping.exe                     GalHome-Win64-Shipping                    #737EA0
   1268  game.exe                                       Game                                      #3C9306
    412  gameinputsvc                                   GameInputSvc                              #DAA000
   1829  mmc.exe                                        Gaming Services 鐨勫睘鎬?鏈湴璁＄畻鏈?                #DC0D0A
     50  geek64.exe                                     Geek-Uninstaller                          #008BCC
    458  mmc.exe                                        Generic Monitor 灞炴€?                       #DC0D0A
   2057  genshin wish export.exe                        Genshin Wish Export                       #F38900
   1864  genshinimpact.exe                              GenshinImpact                             #FBFB00
   2568  git-credential-helper-selector.exe             git-credential-helper-selector            #0D4B74
    844  git-credential-manager.exe                     git-credential-manager                    #A41800
    559  autoupgrader.exe                               GI鍔犻€熷櫒                                     #1423F3
    147  giacceler.exe                                  GI鍔犻€熷櫒                                     #0000FA
    703  chrome.exe                                     Google Chrome                             #EBB000
   2039  chrome.exe                                     Google Chrome for Testing                 #E83C30
    886  gta5.exe                                       Grand Theft Auto V                        #235501
   1651  gctools-v1.18.0.exe                            GrasscutterTools                          #008C09
     14  guilongchao.exe                                GUILONGCHAO                               #67AFEE
   1480  gunfire reborn.exe                             Gunfire Reborn                            #9A7B00
   2291  gw-music-0.1.0-setup.exe                       GW Music                                  #222233
   2292  gw-music.exe                                   GW Music                                  #222233
   2293  un_a.exe                                       GW Music                                  #222233
   1516  handbrake.exe                                  HandBrake                                 #A16B00
    653  鏍￠獙鏂囦欢(hash).exe                                 Hash                                      #0000FD
    483  hdr-o1y5037fyzvz0cf0.tmp                       HDR-O1Y5037FYZVZ0CF0                      #1B39E0
    484  hdr-oble027fl0zt3cf0.tmp                       hdr-OBLE027FL0ZT3CF0                      #201FCB
   1170  mmc.exe                                        HID                                       #DC0D0A
    223  hidevolumeosd.exe                              HideVolumeOSD                             #805610
    230  hidevolumeosd-1.4 (2).tmp                      HideVolumeOSD                                                 #94E096
    222  hidevolumeosd-1.4.tmp                          HideVolumeOSD                                                 #7BA834
    558  hllepicgamesstore-win64-shipping.exe           HLLEpicGamesStore-Win64-Shipping          #FE00FE
   1758  hogwartslegacy.exe                             HogwartsLegacy                            #001F31
   1399  honeyselect2.exe                               HoneySelect2                              #555278
   1400  honeyselect2vr.exe                             HoneySelect2VR                            #555278
    464  hp.omen.omencommandcenter.exe                  HP.OMEN.OMENCommandCenter                 #7F0200
   1169  hpjyhd.exe                                     hpjyhd                                    #C4840F
   1073  hh.exe                                         HTML Help                                 #7F7F00
   2485  mmc.exe                                        Huorong Internet Security Daemon 鐨勫睘鎬?鏈湴璁＄畻鏈?  #DC0D0A
   1243  hypnoapp2.exe                                  HypnoApp2                                 #1CD559
    968  icofx3.exe                                     icofx                                     #158FD6
   1725  iemonitor.exe                                  IEMonitor Application                     #11A304
   1401  initsetting.exe                                IllusionLaunchers                         #B73B58
   1150  ilspy.exe                                      ILSpy                                     #0555B7
   2374  ima.copilot-win-x64-10000074-2.5.4(4436).exe   ima installer                             #537DFC
   2375  ima.copilot.exe                                ima.copilot                               #003FFD
   1958  imhex-gui.exe                                  imhex-gui                                 #304980
   2510  compil32.exe                                   Inno Setup                                #00A8FD
    284  install_textools.exe                           Install_TexTools                          #001EE8
    779  mmc.exe                                        Integrated Camera 灞炴€?                     #DC0D0A
    480  mmc.exe                                        Integrated Monitor                        #DC0D0A
    460  mmc.exe                                        Integrated Monitor 灞炴€?                    #DC0D0A
     51  idea64.exe                                     IntelliJ IDEA Community Edition           #004080
   1397  idman.exe                                      Internet Download Manager (IDM)           #0A9C00
   1396  idm1.tmp                                       Internet Download Manager installer       #513602
   2423  idman642build10.exe_v=lt&filename=idman642build10.exe  Internet Download Manager installer       #00E900
   1620  uninstall.exe                                  Internet Download Manager installer       #00E900
   1945  inzoi.part01.exe                               inZOI                                     #E4BA00
   1571  mmc.exe                                        IP 鍦板潃                                     #DC0D0A
   2488  isaac-ng.exe                                   isaac-ng                                  #040000
    308  j04a v20241029.tmp                             J04A v20241029                            #A73AE8
   1532  jadx-gui-1.5.3.exe                             jadx-gui                                  #E93A00
    343  java.exe                                       JAVA                                      #004080
   1523  java.exe                                       Java(TM) Platform SE 17.0.10              #3D4E5A
   1798  javaw.exe                                      Java(TM) Platform SE 17.0.6               #3D4E5A
   2562  java.exe                                       Java(TM) Platform SE 21.0.11              #3D4E5A
   1151  javaw.exe                                      Java(TM) Platform SE 24.0.1               #3D4E5A
   2552  java.exe                                       Java(TM) Platform SE 25.0.3               #3D4E5A
    126  jianyingpro.exe                                JianyingPro                               #05EAF7
    307  vedetector.exe                                 JianyingPro                               #17AB5B
   1966  kairo.exe                                      Kairo                                     #155EB8
   2155  kaishiyouxi.exe                                KaiShiYouXi                               #020358
   1797  kedou_latest.tmp                               kedou                                                         #6C9329
   2535  keepassxc.exe                                  KeePassXC                                 #8CD05F
   1629  keygen.exe                                     keygen                                    #770000
   1882  kidnappedgirl.exe                              KidnappedGirl                             #03060C
   1918  qbittorrentee(qb涓嬭浇鍣ㄥ寮虹増).exe                    Kingsoft Internet Security                #0069E1
   1631  koloreyes_win32.exe                            Kolor Eyes                                #B2590B
   1622  koloreyes_win32_162_2016-03-29.exe             KolorEyes_win32_162_2016-03-29            #F18000
   2570  mmc.exe                                        KPICService_Web 鐨勫睘鎬?鏈湴璁＄畻鏈?                #DC0D0A
   1187  krokiet 7.0 涓枃.exe                             Krokiet 7                                 #0D4B74
    116  kugou.exe                                      KuGou                                     #0059EA
    920  l.jlp001.tmp                                   L.JLP001                                  #1FE27C
    557  launch_hll.exe                                 Launch_HLL                                #004A87
   1703  a缁樹笘鍚姩鍣?exe                                     Launcher                                  #E02B4C
    500  launcher.exe                                   Launcher                                  #A18000
    637  ldplayer9_ld_403502_ld.exe                     LDplayer9_ld_403502_ld                    #896E0C
    649  ldplayerpartner.exe                            ldplayerpartner                           #9E7400
    667  ldremote.exe                                   ldremote                                  #0032FA
    666  ldremoteinst_cn_104_1.3.21.0.exe               ldremoteinst_cn_104_1.3.21                #0031F6
    322  lzuninstall000.exe                             Legion Zone鍗歌浇绋嬪簭                           #121200
    430  lzinstall.exe                                  Legion Zone瀹夎绋嬪簭                           #121200
    427  lzsetup.exe                                    Legion Zone瀹夎绋嬪簭                           #121200
      6  legionzone.exe                                 LegionZone                                #121200
    835  mmc.exe                                        LeiDian 鐨勫睘鎬?鏈湴璁＄畻鏈?                        #DC0D0A
   2233  mmc.exe                                        Lenovo Driver Service 鐨勫睘鎬?鏈湴璁＄畻鏈?          #DC0D0A
    320  lenovo legion toolkit.exe                      Lenovo Legion Toolkit                     #1000F8
    319  lenovolegiontoolkitsetup.tmp                   Lenovo Legion Toolkit                                         #260B84
    426  _unins.tmp                                     Lenovo Legion Toolkit                                         #ADB744
   1186  quickfixdiskcleanup.exe                        Lenovo Quick Fix - Disk Cleanup           #0E57F5
    482  quickfixdriverinject.exe                       Lenovo Quick Fix - Win7 Driver Inject     #0E55EE
    481  椹卞姩娉ㄥ叆宸ュ叿.exe                                     Lenovo Quick Fix - Win7 Driver Inject     #0E55EE
   1246  segametool.exe                                 Lenovo Smart Engine Plugin                #0D4B74
    746  mmc.exe                                        LenovoSmartService 鐨勫睘鎬?鏈湴璁＄畻鏈?             #DC0D0A
   2168  soffice.bin                                    LibreOffice                               #ED9FD9
   1883  lightapp.exe                                   LightApp                                  #65C0F2
     83  listary.exe                                    Listary                                   #0091F9
    932  listary 6.3.0.59.tmp                           Listary                                                       #610649
    598  lm studio.exe                                  LM Studio                                 #7454F3
    138  lockapp.exe                                    LockApp.exe                               #0D4B74
    870  logviewpro.exe                                 LogViewer Pro                             #0066F7
   2591  loomy-setup-ch-cg-vid-4r837pgeoy (1).exe       Loomy                                     #19B76B
   2590  loomy-setup-ch-cg-vid-4r837pgeoy.exe           Loomy                                     #19B76B
   2592  loomy.exe                                      Loomy                                     #19B76B
    369  lsf_cleanup.exe                                Lsf_Cleanup                               #D3AB0C
    935  luminar neo.exe                                Luminar                                   #825800
   2586  mmc.exe                                        lusrmgr                                   #DC0D0A
   1677  luvsic.exe                                     LuvSic                                    #5B4833
   2232  mmc.exe                                        LZService 鐨勫睘鎬?鏈湴璁＄畻鏈?                      #DC0D0A
    548  m172 build.16849983.tmp                        M172 Build.16849983                       #9D0152
   1564  m3u8 downloader.exe                            M3U8涓嬭浇鍣?                                  #3C5263
   1195  machinarium.exe                                Machinarium                               #C47E0E
     92  macrolauncher.exe                              MacroRecorder                             #C75821
   1478  maiden and lord.exe                            Maiden And Lord                           #F0574F
    132  main.exe                                       Main                                      #FD7070
     26  manictime.exe                                  ManicTime                                 #F50000
    256  manictime                                      ManicTime                                 #DAA000
      2  manictimeclient.exe                            ManicTime                                 #F50000
   1279  marktext-setup.exe                             MarkText                                  #007D9C
   1280  marktext.exe                                   MarkText                                  #007D9C
   1476  mastergo-1.10.5.exe                            MasterGo                                  #3468DA
   1477  mastergo.exe                                   MasterGo                                  #3468DA
    797  mclauncherupdater.exe                          MCLauncherUpdater                         #82654F
    631  mediaplayers.exe                               Media Player                              #00497E
   1520  mediacoder.exe                                 MediaCoder                                #CD6A01
   1519  mediacoder-pro-x64.tmp                         MediaCoder-Pro-x64                        #0C104E
   1879  mediago-setup-win32-x64-3.0.1.exe              mediago                                   #094283
     29  mediago.exe                                    mediago                                   #094283
   1950  mmc.exe                                        MediaTek Wi                               #DC0D0A
     77  menumgr_1.1_20130514.exe                       MenuMgr_1                                 #4AF5A8
   1944  metasoulmate-win64-shipping.exe                MetaSoulmate-Win64-Shipping               #5083B3
   2073  [win10].net framework 4.8.1.exe                Microsoft .NET Framework 4.8.1            #00007F
   1160  dotnet-sdk-8.0.401-win-x64.exe                 Microsoft .NET SDK 8.0.401 (x64)          #00E5E5
    115  webviewhost.exe                                Microsoft 365 (Office)                    #6600CC
    219  officec2rclient.exe                            Microsoft 365 and Office                  #6600CC
    890  mmc.exe                                        Microsoft Account Sign                    #DC0D0A
    110  time.exe                                       Microsoft Clock                           #008DFA
